Store_id,Department_name
3937,Fitness
5963,Fitness
9710,Fitness
9027,Fitness
4110,Fitness
11629,Fitness
3256,Fitness
7654,Fitness
2562,Fitness
9856,Fitness
6255,Fitness
10701,Fitness
9577,Fitness
5898,Fitness
11568,Fitness
6344,Fitness
7526,Fitness
8697,Fitness
2594,Fitness
11391,Fitness
8564,Fitness
6299,Fitness
10011,Fitness
565,Fitness
11792,Fitness
4669,Fitness
11005,Fitness
5302,Fitness
11207,Fitness
8709,Fitness
5672,Fitness
11204,Fitness
6548,Fitness
11518,Fitness
8218,Fitness
3119,Fitness
10496,Fitness
8198,Fitness
6469,Fitness
10329,Fitness
9060,Fitness
6263,Fitness
8596,Fitness
3140,Fitness
9760,Fitness
4913,Fitness
11650,Fitness
8150,Fitness
7519,Apparel
2741,Golf
12,Golf
5565,Golf
6391,Golf
7114,Golf
4259,Golf
2666,Footwear
4761,Footwear
6249,Apparel
5633,Apparel
5206,Footwear
2371,Golf
4643,Outdoors
2816,Outdoors
7513,Footwear
7429,Footwear
6756,Footwear
2070,Apparel
7399,Apparel
15,Apparel
3867,Apparel
7429,Golf
3115,Golf
4761,Golf
901,Outdoors
2405,Footwear
7228,Apparel
6571,Apparel
6840,Apparel
3825,Apparel
4333,Apparel
3610,Apparel
5783,Golf
7250,Golf
7192,Golf
6840,Golf
782,Golf
129,Golf
1107,Golf
6360,Golf
520,Golf
7488,Golf
4846,Golf
267,Golf
1863,Golf
3880,Golf
5532,Golf
6858,Golf
3589,Golf
5945,Golf
2,Golf
3423,Golf
6377,Golf
6300,Golf
1611,Golf
4069,Golf
2278,Golf
2282,Golf
2086,Golf
1707,Golf
3153,Golf
25,Golf
516,Golf
5886,Outdoors
5945,Outdoors
2,Outdoors
2126,Fan Shop
2787,Fitness
1446,Footwear
4036,Footwear
2289,Footwear
1622,Footwear
4562,Footwear
6113,Footwear
819,Footwear
1496,Footwear
4241,Footwear
2471,Footwear
568,Apparel
5520,Apparel
4758,Apparel
4559,Apparel
3453,Apparel
1317,Apparel
6909,Apparel
5089,Footwear
7234,Apparel
5636,Apparel
1444,Apparel
3050,Apparel
4879,Fan Shop
1444,Fan Shop
5340,Technology
2824,Technology
6186,Technology
1150,Technology
4281,Technology
6153,Technology
2662,Technology
4005,Technology
4219,Technology
6049,Technology
2527,Technology
2189,Technology
7143,Technology
3225,Technology
4258,Technology
5023,Technology
2717,Technology
4414,Technology
1737,Technology
2388,Technology
5175,Technology
2021,Technology
2639,Technology
6923,Technology
1009,Technology
6904,Technology
3502,Technology
704,Technology
6892,Technology
2075,Fitness
6429,Fitness
3554,Fitness
2595,Footwear
3423,Footwear
2473,Footwear
4945,Footwear
6448,Footwear
7251,Footwear
10701,Footwear
10060,Footwear
9321,Footwear
10805,Apparel
10222,Apparel
10189,Apparel
8249,Golf
10189,Golf
7907,Golf
10701,Golf
10555,Golf
9100,Golf
7548,Outdoors
10524,Outdoors
11656,Apparel
8331,Apparel
8190,Golf
11696,Golf
10364,Outdoors
8964,Footwear
7781,Apparel
11622,Apparel
7546,Apparel
8319,Apparel
11633,Apparel
9625,Golf
10769,Golf
10038,Golf
11540,Golf
8929,Golf
8378,Golf
8526,Golf
10446,Golf
