Store_id,Latitude,Longitude
3937,18.2514534,-66.03705597
5963,18.27945137,-66.0370636
9710,37.29223251,-121.881279
9027,34.12594605,-118.2910156
4110,18.25376892,-66.03704834
11629,43.01396942,-78.87906647
3256,18.24253845,-66.03705597
7654,25.92886925,-80.16287231
2562,18.23322296,-66.03705597
9856,37.77399063,-121.966629
6255,18.28284454,-66.03705597
10701,40.65486527,-73.58707428
9577,36.6763382,-121.656517
5898,18.27843857,-66.03705597
11568,42.52627564,-70.92703247
6344,18.28404999,-66.03705597
7526,18.3957901,-65.87288666
8697,33.89869309,-118.1745605
2594,18.233778,-66.0370636
11391,42.04830551,-87.96134186
8564,33.78245163,-118.1922455
6299,18.28337669,-66.03705597
10011,38.61177445,-121.2828674
565,18.20733643,-66.03705597
11792,45.78831101,-108.5594101
4669,18.26163292,-66.03705597
11005,41.23545456,-75.86985779
5302,18.27022362,-66.0370636
11207,41.86886215,-84.57365418
8709,33.90942383,-118.1253586
5672,18.27526093,-66.0370636
11204,41.86544037,-88.10990143
6548,18.28713608,-66.03705597
11518,42.39110184,-83.13121796
8218,32.86539459,-96.86858368
3119,18.24074173,-66.03705597
10496,40.03171921,-76.87709808
8198,32.81010819,-96.68649292
6469,18.28604889,-66.03705597
10329,39.68188095,-75.64421082
9060,34.15893936,-118.1809387
6263,18.28294563,-66.0370636
8596,33.81632614,-84.44550324
3140,18.24103928,-66.0370636
9760,37.49027634,-121.9271088
4913,18.26469612,-66.03705597
11650,43.18824005,-77.56706238
8150,32.753685,-96.86553955
7519,18.38011932,-66.18312836
2741,18.23557282,-66.3706131
12,18.02536774,-66.61303711
5565,18.27383804,-66.37063599
6391,18.2848053,-66.37059021
7114,18.29496765,-66.37050629
4259,18.25571251,-66.37050629
2666,18.23466301,-66.37059784
4761,18.26268196,-66.37049866
6249,18.28279495,-66.37055969
5633,18.27466202,-66.37058258
5206,18.2689991,-66.37049866
2371,18.2308178,-66.37052155
4643,18.26138115,-66.37056732
2816,18.23650742,-66.37051392
7513,18.35921478,-66.07779694
7429,18.29944229,-66.37052155
6756,18.28996849,-66.37054443
2070,18.2275734,-66.04563141
7399,18.2988205,-66.37059784
15,18.02538109,-66.61508179
3867,18.25048637,-66.37062836
3115,18.24069786,-66.37055969
901,18.21209908,-66.37050629
2405,18.23131371,-66.37062836
7228,18.29652023,-66.04867554
6571,18.28746414,-66.37054443
6840,18.29108048,-66.37050629
3825,18.24984551,-66.37050629
4333,18.25671768,-66.37062836
3610,18.24754334,-66.0253067
5783,18.27673721,-66.37055206
7250,18.2968483,-66.37050629
7192,18.29609299,-66.37050629
782,18.2105732,-66.37058258
129,18.20111656,-66.37059021
1107,18.21469116,-66.37051392
6360,18.28425598,-66.37058258
520,18.20666885,-66.37056732
7488,18.35907555,-66.07783508
4846,18.26378822,-66.37052918
267,18.20330429,-66.37052155
1863,18.22487068,-66.37052155
3880,18.25061035,-66.37062836
5532,18.27340317,-66.37052155
6858,18.29137993,-66.3705368
3589,18.24738884,-66.37057495
5945,18.27920532,-66.37055206
2,17.98249054,-66.1126709
3423,18.24496079,-66.3705368
6377,18.28453636,-66.37060547
6300,18.28339195,-66.37051392
1611,18.22172546,-66.37059021
4069,18.25333214,-66.37051392
2278,18.22976875,-66.37052918
2282,18.22978401,-66.37054443
2086,18.22758102,-66.04357147
1707,18.22297287,-66.37059021
3153,18.24120712,-66.37050629
25,18.05199051,-66.50184631
516,18.20664215,-66.37052918
5886,18.27825165,-66.37059784
2126,18.22776032,-66.37059021
2787,18.2362442,-66.37062073
1446,18.21949196,-66.37052918
4036,18.25289154,-66.37058258
2289,18.22985077,-66.37062073
1622,18.22190094,-66.37052155
4562,18.26019096,-66.37052918
6113,18.28128624,-66.37050629
819,18.21101761,-66.37052918
1496,18.22019768,-66.37058258
4241,18.25534058,-66.37050629
2471,18.23215866,-66.37059021
568,18.20737648,-66.37055206
5520,18.27331543,-66.37060547
4758,18.2626648,-66.3706131
4559,18.26016426,-66.37059021
3453,18.24535179,-66.37059784
1317,18.21775055,-66.37060547
6909,18.29214859,-66.3706131
5089,18.26737404,-66.37062836
7234,18.29659462,-66.37059021
5636,18.27468491,-66.37056732
1444,18.21944618,-66.37057495
3050,18.23975563,-66.37059021
4879,18.2643261,-66.37060547
5340,18.27085495,-66.03705597
2824,18.23665237,-66.0370636
6186,18.28206062,-66.03705597
1150,18.21524239,-66.03705597
4281,18.25598526,-66.03705597
6153,18.28172112,-66.03705597
2662,18.23458481,-66.03705597
4005,18.25249672,-66.03704834
4219,18.25508499,-66.03705597
6049,18.28042221,-66.0370636
2527,18.23288918,-66.0370636
